Artist,Track
Yashraj,Dhundhala
Manan Bhardwaj,Arjan Vailly
Neoni,DARKSIDE
Dilbahar,Superchor
Kanye West,Can't Tell Me Nothing
KK,Zara Sa - Lofi Flip
Amit Trivedi,"Iktara (From ""Wake Up Sid"")"
Kanika Kapoor,"Oo Bolega Ya Oo Oo Bolega (From ""Pushpa The Rise Part - 01"")"
Michael Bublé,Sway
Aditya Gadhvi,Khalasi | Coke Studio Bharat
Daddy Yankee,Gasolina
Vasantrao Deshpande,Ghei Chhand Makarand
Vasantrao Deshpande,Surat Piya Ki Na Chhin Bisaraye
Sushin Shyam,Aadharanjali
Shubh,Still Rollin
Amit Trivedi,Shubhaarambh
Farooq Got Audio,Mujhe Rang De - Trap Mix
KK,"Ajab Si (From ""Om Shanti Om"")"
Aastha Gill,Kamariya
Mitraz,Junoon
Abdul Hannan,Bikhra
Mitraz,Muskurahat
Sohail Sen,Saiyaara
The Kid LAROI,STAY (with Justin Bieber)
Alan Walker,"Alone, Pt. II"
Harrdy Sandhu,Bijlee Bijlee
Abdul Hannan,Gawara
Gminxr,Hustlin'
Jain,Makeba
Monty Sharma,Jab Se Tere Naina
Piyush Mishra,Husna
Shankar-Ehsaan-Loy,Tere Naina
KK,Such Keh Raha Hai
Bombay Jayashri,Zara Zara
Sonu Nigam,Rehnaa Hai Tere Dil Mein
Ali Sethi,Chan Kithan
AP Dhillon,TERE TE
Aditya Rikhari,Pal Bhar
Ritviz,Liggi
Suman Sridhar,Muskaanein Jhooti Hai
OAFF,Doobey
Vishal-Shekhar,"Ghungroo (From ""War"")"
Hariharan,Chanda Re Chanda Re
Shankar-Ehsaan-Loy,Agar Main Kahoon
Madan Mohan,Main Yahaan Hoon
Raghav,Desperado
Kishore Kumar,Intaha Ho Gai Intezar Ki
Jagjit Singh,Tum Ko Dekha To Yeh Khayal Aaya
Jagjit Singh,Hoshwalon Ko Khabar Kya
Jagjit Singh,"Hothon Se Chhu Lo Tum - From ""Prem Geet"""
Jagjit Singh,Tum Itna Jo Muskura Rahe Ho
Riar Saab,Obsessed
Rovalio,Iraaday
Ali Sethi,Ranjish Hi Sahi
Farida Khanum,Aaj Jane Ki Zid Na Karo (Live)
Arijit Singh,Laal Ishq
Calvin Harris,This Is What You Came For
Shaan,Woh Ladki Hai Kahan
Shankar Mahadevan,Uff Teri Adaa
Yashraj,Dhundhala
Jasleen Royal,"Ranjha (From ""Shershaah"")"
Elly Mangat,Affair
Shivoryx,Woh Raat
El Profesor,Bella Ciao [HUGEL Remix]
Ghost,Mary On A Cross
AJR,World's Smallest Violin
Em Beihold,Numb Little Bug
Ava Max,Kings & Queens
Gajendra Verma,Mann Mera
Ariana Grande,7 rings
Talwiinder,Bach Ke
Kishore Kumar,Eena Meena Deeka - Kishore Kumar
Aditya Rikhari,Kya Karein
Benny Dayal,Daaru Desi
Anand Raj Anand,Hoth Rasiley
Mukesh,Main Pal Do Pal Ka Shair Hoon
ElyOtto,SugarCrash!
Aditya Rikhari,Nasamajh
Monali Thakur,Sawaar Loon
AP Dhillon,Brown Munde
The PropheC,Kina Chir
Mohammed Irfan,Baarish
Lucky Ali,Na Tum Jano Na Hum
Ayushmann Khurrana,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")"
Vijay Antony,Naakka Mukka
Shashwat Sachdev,Baaton Baaton Main
Meet Bros Anjjan,Baby Doll
Zaeden,KTMBK
Imagine Dragons,Thunder
Sachin-Jigar,Jaise Mera Tu
Jasleen Royal,Sang Rahiyo
Marshmello,Happier
Iqlipse Nova,Mera Safar
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
Abhijeet,Tauba Tumhare Ishare
Sona Mohapatra,Ambarsariya
Pritam,Ye Tune Kya Kiya
Shankar-Ehsaan-Loy,Mera Yaar
Doja Cat,Woman
Lata Mangeshkar,Jiya Jale
Sukhwinder Singh,Chaiyya Chaiyya
Shamur,Let The Music Play - Original Vocal Mix
Calvin Harris,One Kiss (with Dua Lipa)
King,Maan Meri Jaan
Shivam Pathak,"Ek Dil Ek Jaan (From ""Padmaavat"")"
Pritam,Afreen
Mohammed Rafi,Likhe Jo Khat Tujhe
Sushin Shyam,"Parudeesa - From ""Bheeshma Parvam"""
The Kid LAROI,STAY (with Justin Bieber)
Hasan Raheem,Aisay Kaisay
Pritam,Pyar Karke
Vismay Patel,Pal Behta Jaaye
Swanand Kirkire,Monta Re
Arijit Singh,Bandeya Rey Bandeya
Hemant Kumar,Beqarar Karke Hamen Yun Na Jaiye
Tapas Relia,Mahabali Maharudra
Shabbir Kumar,I Don't Know What To Do
Ritu Pathak,Papa Jag Jayega
Tarun Sagar,Oh Girl You're Mine .
Sanam,Gulabi Aankhen
AP Dhillon,Excuses
Pritam,Woh Din
Brodha V,Vainko
KK,"Kya Mujhe Pyar Hai (From ""Woh Lamhe"")"
Mohammed Rafi,Taarif Karoon Kya Uski
Shubh,No Love
Shubh,We Rollin
Eminem,Mockingbird
Anurag Saikia,Aise Kyun
Suzzane D'Mello,Mahiya
Rashid Ali,Kabhi Kabhi Aditi
Sushma Shrestha,Kya Hua Tera Vada
Mohammed Rafi,Likhe Jo Khat Tujhe
Anirudh Ravichander,Why This Kolaveri Di? - The Soup of Love
Lady Gaga,Bloody Mary
Shashwat Sachdev,Baaton Baaton Main
"Honey , Badshah",Choot Vol. 1
SARRB,Zulfaan
Abhilasha Sinha,Jab Tum Miley
Lucky Ali,Intezaar
Sickflip,Mehmaan
Yashraj Mukhate,Bing Bing Boo!
Salman Elahi,Pahadon Mein
Osho Jain,Humara Ho Gaya
Lata Mangeshkar,Aaja Sanam Madhur Chandni Men
Anirudh Ravichander,Maari Thara Local - Here Comes Maari
Daler Mehndi,Aasman Ko Chukar
Indravathi Chauhan,Oo Antava Oo Oo Antava
Pritam,Alvida
Amit Trivedi,Ghodey Pe Sawaar
Noor Chahal,Surmedani
Ammy Virk,Main Suneya
Farasat Anees,Halka Halka Saroor
Farasat Anees,Yaari
Farasat Anees,Dill Laggi
Shubh,WE ROLLIN
Arijit Singh,"Pachtaoge (From ""Jaani Ve"")"
Lata Mangeshkar,Mera Dil Ye Pukare - Tu Aaja - Heartlock Mix
Boney M.,Rasputin
Brodha V,Aathma Raama
Neeti Mohan,Nainowale Ne
Sam Smith,Unholy (feat. Kim Petras)
Elly Mangat,Affair
Sonu Nigam,Dil Dooba
Adnan Sami,Mehbooba Mehbooba
Adnan Sami,Gela Gela Gela
Kaskade,On Your Mind
AP Dhillon,Summer High
Nico & Vinz,Am I Wrong
Farasat Anees,BIBA
Ali Sethi,Chan Kithan
Arjun Kanungo,Baaki Baatein Peene Baad (Shots) (feat. Badshah)
MrSuicideSheep,sunrise breakfast
Pate Jaar,Deixa A Gira Girar
Nu,Man O To - Original Mix
TroyBoi,On My Own
The Spy From Cairo,Nafas
Billie Eilish,MyBoi - TroyBoi Remix
Justin Bieber,Red Eye (feat. TroyBoi)
TroyBoi,Afterhours feat. Diplo & Nina Sky
Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)"
Linkin Park,In the End
Faridkot,Nasha (Equals Sessions)
Farooq Got Audio,Kabhi Aar Kabhi Paar - Farooq Got Audio Mix
Asha Bhosle,Abhi Na Jao Chhod Kar
Farooq Got Audio,Roop Suhana Lagta Hai - Farooq Got Audio Mix
Pritam,"Kesariya (From ""Brahmastra"")"
Akshay Verma,Rum Whisky
Cigarettes After Sex,Young & Dumb
Cigarettes After Sex,K.
Cigarettes After Sex,Sunsetz
Shaggy,Mr Boombastic
Sultana,Patakha Guddi
Sukhwinder Singh,"Kar Har Maidaan Fateh (From ""Sanju"")"
Lucky Ali,Hairat
Salim–Sulaiman,Maula Mere Lele Meri Jaan
Drake,Hotline Bling
Shubh,NO LOVE
Olivia Rodrigo,All I Want
Sean Paul,No Lie
Dua Lipa,Levitating
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie)
Charlie Puth,Attention
Maninder Buttar,Sakhiyaan
King,Tu Aake Dekhle
Coolio,Gangsta's Paradise
Imagine Dragons,Bad Liar
Elley Duhé,MIDDLE OF THE NIGHT
Aditya Rikhari,Faasle
Imagine Dragons,Enemy - From the series Arcane League of Legends
The Weeknd,Blinding Lights
Mitraz,Akhiyaan
EMELINE,cinderella's dead
Shankar-Ehsaan-Loy,O Rangrez
Band Master Rangeela,Emosanal Attyachaar (Brass Band Version)
A.R. Rahman,Khalbali
Taylor Swift,Blank Space
Samar Mehdi,Sukoon
Lost Stories,Mai Ni Meriye
Ankit Tiwari,Tu Hai Ki Nahi
Shankar Mahadevan,Breathless - Album - Breathless 98
Zohaib Kazi,Hum Dekhenge
Shae Gill,Pasoori
Karthik,Behene De
Akanksha Bhandari,Gumsum
Advaita,MoFunk
Raghu Dixit,Mysore Se Ayi
Kailash Kher,Teri Deewani
Dikshant,Aankhon Se Batana
Shivoryx,Woh Raat
Anumita Nadesan,Khwaab
Aditya A,Chaand Baaliyan
Rabbi Shergill,Bulla Ki Jaana Mein Kaun
Shanti People,Shiva Tandava Stotram
Alyssa Mendonsa,Khaabon Ke Parinday
Arijit Singh,Binte Dil
Mohammed Irfan,Phir Mohabbat
Lil Nas X,INDUSTRY BABY (feat. Jack Harlow)
Post Malone,rockstar (feat. 21 Savage)
Lil Nas X,Old Town Road - Remix
Arijit Singh,Tum Hi Ho
David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)"
Green Day,Boulevard of Broken Dreams
Talwiinder,Haal
Talwiinder,Nasha
Shreya Ghoshal,Jadu Hai Nasha Hai - 2002
The Weeknd,Starboy
Sreenath Bhasi,Parudeesa
Alan Walker,The Spectre
Akon,Bananza (Belly Dancer)
Mohit Chauhan,Tum Ho
Ali Azmat,Yeh Jism
Lata Mangeshkar,Ajib Dastan Hai Yeh
Ed Sheeran,The Joker And The Queen (feat. Taylor Swift)
Adnan Sami,Lift Karadey
Zariya,Khoya
James,Bheegi Bheegi
Arijit Singh,Main Dhoondne Ko Zamaane Mein
Pritam,"Haan Main Galat (From ""Love Aaj Kal"")"
Pritam,"Bulleya (From ""Ae Dil Hai Mushkil"")"
Pritam,"Channa Mereya (From ""Ae Dil Hai Mushkil"")"
Anuv Jain,Baarishein
Kishore Kumar,Mere Sapnon Ki Rani
Rahat Fateh Ali Khan,Omkara
Haricharan,Tere Rang
Calvin Harris,How Deep Is Your Love
Shashwat Sachdev,Sha- Dobara
Ghulam Ali,Ae Husn-e-Beparva
The Yellow Diary,Roz Roz
A.R. Rahman,Khoon Chala
Linkin Park,CASTLE OF GLASS
Shuba,Indian Summer
Eminem,Rap God
Eminem,Love The Way You Lie
Adnan Dhool,Awari
Sachin-Jigar,Gulabi
Hariharan,Hai Rama
Mohan Kannan,Chaandaniya
Sanjay Dutt,Rama Re
A.R. Rahman,Yeh Jo Des Hai Tera
Bombay Jayashri,Zara Zara
Sona Mohapatra,Aigiri Nandini
Osho Jain,Khush to Hai Na
Nikhita Gandhi,Barse Badariya
Gautam Kale,Jiyara
Prateek Kuhad,cold/mess
Prateek Kuhad,Tere Hi Hum
Anand Bhaskar Collective,Jaadoogari
The Chainsmokers,Something Just Like This
The Chainsmokers,Don't Let Me Down
The Chainsmokers,Closer
Aman Moroney,Jiya Kaanch Ka
Sukhwinder Singh,Ramta Jogi
When Chai Met Toast,Khoj (Passing By)
Clinton Cerejo,Mauje Naina
Divya Kumar,"Jee Karda (From ""Badlapur)"
Pritam,"Ae Dil Hai Mushkil Title Track (From ""Ae Dil Hai Mushkil"")"
A.R. Rahman,Tum Tak
Coldplay,Hymn for the Weekend
Sonu Nigam,Cham Cham
A.R. Rahman,Ranjha Ranjha Unplugged
Mohit Chauhan,Saadda Haq
Ali Sethi,Chan Kithan
Salim–Sulaiman,Kurbaan Hua
Maroon 5,Girls Like You
Mohit Chauhan,Phir Se Ud Chala
Mohammed Irfan,Banjaara
Papon,Jiyein Kyun
A.R. Rahman,Urvashi Urvashi (Mtv Unplugged Season 6)
Amit Trivedi,Pareshaan (MTV Unplugged)
Colonial Cousins,Tu Hi Re
Clinton Cerejo,Baina
John Newman,Love Me Again
Pritam,Kabira
Pritam,Ilahi
Nandini Srikar,Duaa
Shankar-Ehsaan-Loy,Kal Ho Naa Ho
Shriram Iyer,Yatra
Ankur Tewari,Yaaron
A.R. Rahman,Dil Se Re
Sonu Nigam,Satarangi Re
Blonde Redhead,For the Damaged Coda
Talwiinder,Tera Saath
Ghulam Ali,Hungama Hai Kyon Barpa
Rahat Fateh Ali Khan,Dil To Bachcha Hai
Cartoon,On & On
Pav Dharia,Na Ja
Ali Sethi,Mahi Mera
A.R. Rahman,Aye Udi Udi Udi
Lenka,Everything at Once
Parul Mishra,Mohbhang
Akon,Lonely
Edith Whiskers,Home
Ed Sheeran,Thinking out Loud
Ed Sheeran,Shape of You
Tones And I,Dance Monkey
Rahul Deshpande,Kanada Raja Pandharicha
Bee Gees,Stayin' Alive
Edith Whiskers,Home
Avicii,The Nights
Ali Sethi,Dil Ki Khair
Ali Sethi,Mere Aur Hein Iraaday
Ali Sethi,Dil Ki Khair - Lockdown Blues
Ali Sethi,Chandni Raat
Talwiinder,Don't Care
Talwiinder,Kitaab
Talwiinder,Focus
Talwiinder,Dila
Talwiinder,Jor
Talwiinder,Tere Jeha
Talwiinder,Together
Talwiinder,Gallan 4
Talwiinder,Tenu Lagga
Talwiinder,Yaad
Talwiinder,Jaan
Talwiinder,Look at Them
Talwiinder,Dil Te Dimag
Talwiinder,Dil Mera
Queen,We Are The Champions - Remastered 2011
Ali Sethi,Ishq
Adele,Hello
Lucky Ali,O Sanam
Talwiinder,Tell Me
Talwiinder,Save Me
Talwiinder,Kammo Ji
alt-J,Breezeblocks
Blue,One Love
Indian Ocean,Kandisa
Shawn Mendes,Señorita
Surf Mesa,ily (i love you baby) (feat. Emilee)
Glass Animals,The Other Side Of Paradise
Glass Animals,Heat Waves
SYML,Mr. Sandman
Eminem,Lose Yourself
AfterSound,Dopamine
Alec Benjamin,Let Me Down Slowly
Ed Sheeran,The A Team
Kaleida,Think
Troye Sivan,Strawberries & Cigarettes
Prateek Kuhad,Tum Jab Paas
"Sithara Krishnakumar,Sushin Shyam",Cherathukal
Dimitri Vegas & Like Mike,Higher Place - Radio Edit
Led Zeppelin,Stairway to Heaven - Remaster
Tame Impala,The Less I Know The Better
OneRepublic,Counting Stars
Arif Lohar & Meesha Shafi,Alif Allah Chambey Di Booty
Wiz Khalifa,See You Again (feat. Charlie Puth)
Imagine Dragons,Believer
Shankar-Ehsaan-Loy,Sajdaa
Amit Trivedi,Iktara
Bombay Bandook,Azad
Ali Sethi,Ranjish Hi Sahi
Bombay Bandook,Parvaaz
Dropkick Murphys,I'm Shipping Up To Boston
fun.,We Are Young (feat. Janelle Monáe)
Passenger,Let Her Go
Imagine Dragons,Warriors
Ed Sheeran,"I See Fire - From ""The Hobbit - The Desolation Of Smaug"""
TroyBoi,Do You?
Madison Bell,Call Me Maybe
Antonio Vivaldi,"The Four Seasons: Concerto No. 2 in G Minor, RV 315 ""L'estate"" (summer): III. Presto"
Amit Trivedi,Sham
Amit Trivedi,Zinda
Eagles,Hotel California - 2013 Remaster
Atif Aslam,Tajdar-E-Haram Coke Studio Season 8
Jai Wolf,Indian Summer
Powfu,death bed (coffee for your head)
Mark Ronson,Uptown Funk (feat. Bruno Mars)
Imagine Dragons,Radioactive
Imagine Dragons,Demons
Indian Ocean,Bandheh
When Chai Met Toast,Beautiful World
Maroon 5,Sugar
Maroon 5,Animals
Pharrell Williams,"Happy - From ""Despicable Me 2"""
Sigrid,Everybody Knows
Bhimsen Joshi,Majhe Maher Pandhari
Bob Dylan,Mr. Tambourine Man
John Legend,All of Me
Hozier,Take Me To Church
Kavita Seth,Rangi Saari
Queen,I Want To Break Free
Dream Theater,The Count of Tuscany
Major Lazer,Lean On
Swedish House Mafia,Don't You Worry Child - Radio Edit
Cigarettes After Sex,Apocalypse
Harry Styles,Watermelon Sugar
The Cranberries,Zombie
Prateek Kuhad,cold/mess
Prateek Kuhad,Kasoor
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez)
Coldplay,Paradise
Empire of the Sun,Alive
Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version
Sachin Sanghvi,Radha Ne Shyam Mali Jashe
A.R. Rahman,Hosanna
A.R. Rahman,Patakha Guddi (Male Version)
Tochi Raina,Pardesi
Plain White T's,Hey There Delilah
Job Kurian,Enthavo
A.R. Rahman,Nadaan Parinde
Amit Trivedi,Keh Ke Lunga
Pritam,Jiyein Kyun
Ammy Virk,Daryaa
Sia,Cheap Thrills
AronChupa,I'm an Albatraoz
A.R. Rahman,Aao Balma
The Local Train,Kaisey Jiyun
The Local Train,Mizaaj
The Local Train,Dilnawaz
The Local Train,Dil Mere
Sachin-Jigar,Saibo
MEMBA,"For Aisha (Featured in ""The Sky Is Pink"")"
Piyush Mishra,Duniya
Piyush Mishra,Aarambh
A.R. Rahman,Rehna Tu
A.R. Rahman,Mental Manadhil
AC/DC,T.N.T.
Pink Floyd,Comfortably Numb
AC/DC,Back In Black
Queen,Another One Bites The Dust - Remastered 2011
Queen,Bohemian Rhapsody - Remastered 2011
Queen,We Will Rock You - Remastered 2011
John Denver,"Take Me Home, Country Roads - Original Version"
Pritam,Phir Le Aya Dil
Johnny Cash,Hurt
Anu Malik,Moh Moh Ke Dhaage (Male)
A.R. Rahman,Maahi Ve
Shankar Mahadevan,Dil Chahta Hai
Shankar-Ehsaan-Loy,Lakshya
A.R. Rahman,Luka Chuppi
A.R. Rahman,Kun Faya Kun
Clinton Cerejo,Madari
Javed Ali,Arziyan
Rahat Fateh Ali Khan,"Naina (From ""Omkara"")"
Hell's Highway,TNT
AC/DC,Highway to Hell
Ritviz,Udd Gaye - Bacardi House Party Sessions
